Create_date;Is_disabled;Login_Name;Login_Type;Modify_date;Permission_Name;Permission_Type
2023-10-10 15:57:33.923;0;##MS_AgentSigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:57:33.93;CONNECT SQL;SERVER
2023-10-10 15:57:29.77;1;##MS_PolicyEventProcessingLogin##;SQL_LOGIN;2023-10-10 15:57:29.783;CONNECT SQL;SERVER
2023-10-10 15:56:52.25;0;##MS_PolicySigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.25;CONTROL SERVER;SERVER
2023-10-10 15:56:52.25;0;##MS_PolicySigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.25;VIEW ANY DEFINITION;SERVER
2022-10-08 06:32:02.543;1;##MS_PolicyTsqlExecutionLogin##;SQL_LOGIN;2023-10-10 15:57:29.79;CONNECT SQL;SERVER
2022-10-08 06:32:02.543;1;##MS_PolicyTsqlExecutionLogin##;SQL_LOGIN;2023-10-10 15:57:29.79;VIEW ANY DEFINITION;SERVER
2022-10-08 06:32:02.543;1;##MS_PolicyTsqlExecutionLogin##;SQL_LOGIN;2023-10-10 15:57:29.79;VIEW SERVER STATE;SERVER
2023-10-10 15:56:52.25;0;##MS_SmoExtendedSigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.25;VIEW ANY DEFINITION;SERVER
2023-10-10 15:56:52.25;0;##MS_SQLAuthenticatorCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.25;AUTHENTICATE SERVER;SERVER
2023-10-10 15:56:52.25;0;##MS_SQLReplicationSigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.25;AUTHENTICATE SERVER;SERVER
2023-10-10 15:56:52.25;0;##MS_SQLReplicationSigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.25;VIEW ANY DEFINITION;SERVER
2023-10-10 15:56:52.25;0;##MS_SQLReplicationSigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.25;VIEW SERVER STATE;SERVER
2023-10-10 15:56:52.247;0;##MS_SQLResourceSigningCertificate##;CERTIFICATE_MAPPED_LOGIN;2023-10-10 15:56:52.247;VIEW ANY DEFINITION;SERVER
2023-09-12 23:08:46.737;0;AUTORIDADE NT\SISTEMA;WINDOWS_LOGIN;2023-09-12 23:08:46.743;ALTER ANY AVAILABILITY GROUP;SERVER
2023-09-12 23:08:46.737;0;AUTORIDADE NT\SISTEMA;WINDOWS_LOGIN;2023-09-12 23:08:46.743;CONNECT SQL;SERVER
2023-09-12 23:08:46.737;0;AUTORIDADE NT\SISTEMA;WINDOWS_LOGIN;2023-09-12 23:08:46.743;VIEW SERVER STATE;SERVER
2023-09-12 23:08:46.71;0;DESKTOP-7MABR14\vpmac;WINDOWS_LOGIN;2023-09-12 23:08:46.72;CONNECT SQL;SERVER
2023-09-12 23:08:46.71;0;DESKTOP-7MABR14\vpmac;WINDOWS_LOGIN;2023-09-12 23:08:46.72;sysadmin;SERVER_ROLE
2023-09-12 23:08:46.73;0;NT Service\MSSQLSERVER;WINDOWS_LOGIN;2023-09-12 23:08:46.74;CONNECT SQL;SERVER
2023-09-12 23:08:46.73;0;NT Service\MSSQLSERVER;WINDOWS_LOGIN;2023-09-12 23:08:46.74;sysadmin;SERVER_ROLE
2023-09-12 23:08:47.647;0;NT SERVICE\SQLSERVERAGENT;WINDOWS_LOGIN;2023-09-12 23:08:47.657;CONNECT SQL;SERVER
2023-09-12 23:08:47.647;0;NT SERVICE\SQLSERVERAGENT;WINDOWS_LOGIN;2023-09-12 23:08:47.657;sysadmin;SERVER_ROLE
2023-09-12 23:08:48.427;0;NT SERVICE\SQLTELEMETRY;WINDOWS_LOGIN;2023-09-12 23:08:48.433;ALTER ANY EVENT SESSION;SERVER
2023-09-12 23:08:48.427;0;NT SERVICE\SQLTELEMETRY;WINDOWS_LOGIN;2023-09-12 23:08:48.433;CONNECT ANY DATABASE;SERVER
2023-09-12 23:08:48.427;0;NT SERVICE\SQLTELEMETRY;WINDOWS_LOGIN;2023-09-12 23:08:48.433;CONNECT SQL;SERVER
2023-09-12 23:08:48.427;0;NT SERVICE\SQLTELEMETRY;WINDOWS_LOGIN;2023-09-12 23:08:48.433;VIEW ANY DEFINITION;SERVER
2023-09-12 23:08:48.427;0;NT SERVICE\SQLTELEMETRY;WINDOWS_LOGIN;2023-09-12 23:08:48.433;VIEW SERVER STATE;SERVER
2023-09-12 23:08:46.72;0;NT SERVICE\SQLWriter;WINDOWS_LOGIN;2023-09-12 23:08:46.73;CONNECT SQL;SERVER
2023-09-12 23:08:46.72;0;NT SERVICE\SQLWriter;WINDOWS_LOGIN;2023-09-12 23:08:46.73;sysadmin;SERVER_ROLE
2023-09-12 23:08:46.727;0;NT SERVICE\Winmgmt;WINDOWS_LOGIN;2023-09-12 23:08:46.737;CONNECT SQL;SERVER
2023-09-12 23:08:46.727;0;NT SERVICE\Winmgmt;WINDOWS_LOGIN;2023-09-12 23:08:46.737;sysadmin;SERVER_ROLE
2009-04-13 12:59:06.03;0;public;SERVER_ROLE;2009-04-13 12:59:06.03;CONNECT;ENDPOINT
2009-04-13 12:59:06.03;0;public;SERVER_ROLE;2009-04-13 12:59:06.03;VIEW ANY DATABASE;SERVER
2003-04-08 09:10:35.46;0;sa;SQL_LOGIN;2023-11-02 12:08:44.62;CONNECT SQL;SERVER
2003-04-08 09:10:35.46;0;sa;SQL_LOGIN;2023-11-02 12:08:44.62;sysadmin;SERVER_ROLE
