DatabaseName;Login_Name;Permission_Name;Permission_Type;Principal_Name
master;##MS_AgentSigningCertificate##;CONNECT;DATABASE;##MS_AgentSigningCertificate##
master;##MS_AgentSigningCertificate##;EXECUTE;DATABASE;##MS_AgentSigningCertificate##
master;##MS_PolicyEventProcessingLogin##;CONNECT;DATABASE;##MS_PolicyEventProcessingLogin##
msdb;##MS_PolicyEventProcessingLogin##;CONNECT;DATABASE;##MS_PolicyEventProcessingLogin##
msdb;##MS_PolicyEventProcessingLogin##;PolicyAdministratorRole;DATABASE_ROLE;##MS_PolicyEventProcessingLogin##
msdb;##MS_PolicyTsqlExecutionLogin##;CONNECT;DATABASE;##MS_PolicyTsqlExecutionLogin##
msdb;##MS_PolicyTsqlExecutionLogin##;PolicyAdministratorRole;DATABASE_ROLE;##MS_PolicyTsqlExecutionLogin##
AUDITORIA;null;CONNECT;DATABASE;AAA
AUDITORIA;null;db_owner;DATABASE_ROLE;AAA
AdventureWorks2014;null;CONNECT;DATABASE;dbo
AdventureWorks2014;null;db_owner;DATABASE_ROLE;dbo
AdventureWorks2019;null;CONNECT;DATABASE;dbo
AdventureWorks2019;null;db_owner;DATABASE_ROLE;dbo
AUDITORIA;null;CONNECT;DATABASE;dbo
AUDITORIA;null;db_owner;DATABASE_ROLE;dbo
BANCO_AUDITADO;null;CONNECT;DATABASE;dbo
BANCO_AUDITADO;null;db_owner;DATABASE_ROLE;dbo
DB_ALTERA;null;CONNECT;DATABASE;dbo
DB_ALTERA;null;db_owner;DATABASE_ROLE;dbo
DB_DESPACHANTE;null;CONNECT;DATABASE;dbo
DB_DESPACHANTE;null;db_owner;DATABASE_ROLE;dbo
DB_MANUTENCAO;null;CONNECT;DATABASE;dbo
DB_MANUTENCAO;null;db_owner;DATABASE_ROLE;dbo
DB_PADARIA;null;CONNECT;DATABASE;dbo
DB_PADARIA;null;db_owner;DATABASE_ROLE;dbo
DB_PESQUISA;null;CONNECT;DATABASE;dbo
DB_PESQUISA;null;db_owner;DATABASE_ROLE;dbo
DB_TESTE;DESKTOP-7MABR14\vpmac;CONNECT;DATABASE;dbo
DB_TESTE;DESKTOP-7MABR14\vpmac;db_owner;DATABASE_ROLE;dbo
DBMANAGER;null;CONNECT;DATABASE;dbo
DBMANAGER;null;db_owner;DATABASE_ROLE;dbo
master;sa;CONNECT;DATABASE;dbo
master;sa;db_owner;DATABASE_ROLE;dbo
model;sa;CONNECT;DATABASE;dbo
model;sa;db_owner;DATABASE_ROLE;dbo
msdb;sa;CONNECT;DATABASE;dbo
msdb;sa;db_owner;DATABASE_ROLE;dbo
tempdb;sa;CONNECT;DATABASE;dbo
tempdb;sa;db_owner;DATABASE_ROLE;dbo
TRACES;null;CONNECT;DATABASE;dbo
TRACES;null;db_owner;DATABASE_ROLE;dbo
msdb;null;dc_operator;DATABASE_ROLE;dc_admin
msdb;null;db_ssisltduser;DATABASE_ROLE;dc_operator
msdb;null;db_ssisoperator;DATABASE_ROLE;dc_operator
msdb;null;SQLAgentUserRole;DATABASE_ROLE;dc_operator
msdb;null;db_ssisltduser;DATABASE_ROLE;dc_proxy
msdb;null;db_ssisoperator;DATABASE_ROLE;dc_proxy
AdventureWorks2019;null;CONNECT;DATABASE;DESKTOP-BNFSALD\vpmac
DBMANAGER;null;CONNECT;DATABASE;DESKTOP-BNFSALD\vpmac
AUDITORIA;null;CONNECT;DATABASE;FFF
AUDITORIA;null;db_owner;DATABASE_ROLE;FFF
BANCO_AUDITADO;null;CONNECT;DATABASE;FFF
BANCO_AUDITADO;null;db_owner;DATABASE_ROLE;FFF
master;null;CONNECT;DATABASE;guest
msdb;null;CONNECT;DATABASE;guest
tempdb;null;CONNECT;DATABASE;guest
AUDITORIA;null;CONNECT;DATABASE;MeuUsuario
AUDITORIA;null;MeuRole;DATABASE_ROLE;MeuUsuario
msdb;null;CONNECT;DATABASE;MS_DataCollectorInternalUser
msdb;null;db_ssisoperator;DATABASE_ROLE;MS_DataCollectorInternalUser
msdb;null;dc_admin;DATABASE_ROLE;MS_DataCollectorInternalUser
msdb;null;SQLAgentUserRole;DATABASE_ROLE;MS_DataCollectorInternalUser
msdb;null;SQLAgentOperatorRole;DATABASE_ROLE;PolicyAdministratorRole
AdventureWorks2014;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
AdventureWorks2014;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
AdventureWorks2019;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
AdventureWorks2019;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
AUDITORIA;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
AUDITORIA;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
BANCO_AUDITADO;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
BANCO_AUDITADO;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
DB_ALTERA;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
DB_ALTERA;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
DB_DESPACHANTE;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
DB_DESPACHANTE;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
DB_MANUTENCAO;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
DB_MANUTENCAO;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
DB_PADARIA;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
DB_PADARIA;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
DB_PESQUISA;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
DB_PESQUISA;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
DB_TESTE;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
DB_TESTE;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
DBMANAGER;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
DBMANAGER;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
master;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
master;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
model;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
model;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
msdb;null;VIEW ANY COLUMN ENCRYPTION KEY DEFINITION;DATABASE;public
msdb;null;VIEW ANY COLUMN MASTER KEY DEFINITION;DATABASE;public
