Db_name;Obj_name;Total_rows;Total_space;Unused_space;Used_space
DB_MANUTENCAO;dbo.log_locks;61971;77.45;0.12;77.34
TRACES;dbo.Log_Counter;1897891;63.51;0.10;63.41
TRACES;dbo.File_Utilization_History;381873;44.38;0.09;44.29
AdventureWorks2019;Person.Person;19972;32.23;0.94;31.29
AdventureWorks2014;Person.Person;19972;32.17;0.88;31.29
TRACES;dbo.Waits_Stats_History;171211;20.14;0.58;19.56
AdventureWorks2019;Sales.SalesOrderDetail;121317;16.43;0.93;15.50
AdventureWorks2014;Sales.SalesOrderDetail;121317;16.43;0.92;15.51
DBMANAGER;dbo.harpo;735;15.33;0.10;15.23
DBMANAGER;dbo.harpo1;735;15.33;0.11;15.22
AdventureWorks2014;Production.TransactionHistory;113443;10.30;0.45;9.85
AdventureWorks2019;Production.TransactionHistory;113443;10.30;0.45;9.85
AdventureWorks2014;Sales.SalesOrderHeader;31465;8.57;0.61;7.96
AdventureWorks2019;Sales.SalesOrderHeader;31465;8.57;0.61;7.96
AdventureWorks2014;Production.TransactionHistoryArchive;89253;8.55;0.79;7.77
AdventureWorks2019;Production.TransactionHistoryArchive;89253;8.55;0.79;7.77
AdventureWorks2019;Production.WorkOrderRouting;67131;7.14;0.55;6.59
AdventureWorks2014;Production.WorkOrderRouting;67131;7.08;0.48;6.59
AdventureWorks2014;Production.WorkOrder;72591;6.65;0.60;6.05
AdventureWorks2014;dbo.DatabaseLog;1597;6.65;0.20;6.45
AdventureWorks2019;Production.WorkOrder;72591;6.65;0.60;6.05
AdventureWorks2019;dbo.DatabaseLog;1596;6.65;0.20;6.45
TRACES;dbo.Table_Size_History;94989;6.04;0.35;5.69
AdventureWorks2019;Person.Address;19615;5.70;0.48;5.22
AdventureWorks2014;Person.Address;19614;5.65;0.43;5.22
DB_MANUTENCAO;dbo.trace_dia_geral;108420;5.45;0.09;5.36
DB_DESPACHANTE;dbo.ALUNO;188072;3.88;0.04;3.84
DB_ALTERA;dbo.ALUNO;188079;3.88;0.04;3.84
DB_PESQUISA;dbo.ALUNO;188058;3.88;0.05;3.84
AdventureWorks2014;Person.EmailAddress;19972;3.58;0.16;3.41
AdventureWorks2014;Sales.Customer;19820;2.59;0.35;2.24
AdventureWorks2014;Person.BusinessEntityAddress;19614;2.59;0.34;2.26
AdventureWorks2019;Person.BusinessEntityAddress;19614;2.59;0.34;2.26
AdventureWorks2019;Sales.Customer;19820;2.59;0.35;2.24
AdventureWorks2019;Sales.CreditCard;19118;2.45;0.18;2.27
AdventureWorks2019;Production.ProductPhoto;101;2.45;0.21;2.24
AdventureWorks2014;Sales.CreditCard;19118;2.45;0.18;2.27
AdventureWorks2014;Production.ProductPhoto;101;2.40;0.16;2.24
AdventureWorks2019;Person.PersonPhone;19972;2.27;0.14;2.13
AdventureWorks2014;Person.PersonPhone;19972;2.27;0.14;2.13
AdventureWorks2019;Person.Password;19972;1.95;0.09;1.85
AdventureWorks2014;Person.Password;19972;1.95;0.09;1.85
AdventureWorks2014;Person.BusinessEntity;20777;1.45;0.15;1.30
AdventureWorks2019;Person.BusinessEntity;20777;1.45;0.15;1.30
AdventureWorks2014;Sales.CurrencyRate;13532;1.33;0.15;1.18
AdventureWorks2019;Sales.CurrencyRate;13532;1.33;0.15;1.18
AdventureWorks2014;Sales.Store;701;1.27;0.40;0.88
AdventureWorks2019;Sales.Store;701;1.27;0.40;0.88
AdventureWorks2014;dbo.ALUNO;51897;1.13;0.05;1.09
AdventureWorks2019;dbo.ALUNO;51890;1.13;0.05;1.08
AUDITORIA;dbo.Auditoria;176;0.95;0.05;0.89
DBMANAGER;dbo.trace_daily;15267;0.89;0.09;0.80
AdventureWorks2014;Purchasing.PurchaseOrderDetail;8845;0.89;0.20;0.69
AdventureWorks2019;Purchasing.PurchaseOrderDetail;8845;0.89;0.20;0.69
AdventureWorks2014;Production.Product;504;0.84;0.62;0.23
AdventureWorks2019;Production.Product;504;0.84;0.62;0.23
AdventureWorks2014;Purchasing.PurchaseOrderHeader;4012;0.84;0.35;0.48
AdventureWorks2019;Purchasing.PurchaseOrderHeader;4012;0.84;0.35;0.48
DBMANAGER;dbo.log_locks;0;0.82;0.00;0.82
AdventureWorks2014;Person.BusinessEntityContact;909;0.78;0.59;0.19
AdventureWorks2019;Person.BusinessEntityContact;909;0.78;0.59;0.19
AdventureWorks2019;Production.BillOfMaterials;2679;0.77;0.42;0.35
AdventureWorks2014;Production.BillOfMaterials;2679;0.77;0.42;0.35
DBMANAGER;dbo.Historico_Deadlocks_Resumido;77;0.77;0.05;0.71
AdventureWorks2014;Sales.SalesOrderHeaderSalesReason;27647;0.76;0.07;0.69
AdventureWorks2019;Sales.SalesOrderHeaderSalesReason;27647;0.76;0.07;0.69
AdventureWorks2014;HumanResources.Employee;290;0.73;0.55;0.19
AdventureWorks2019;Production.Document;13;0.73;0.34;0.40
AdventureWorks2019;HumanResources.Employee;290;0.73;0.55;0.19
AdventureWorks2014;Production.Document;13;0.68;0.28;0.40
AdventureWorks2014;Sales.PersonCreditCard;19118;0.57;0.09;0.48
AdventureWorks2019;Sales.PersonCreditCard;19118;0.57;0.09;0.48
AdventureWorks2019;Production.ProductModel;128;0.47;0.28;0.19
AdventureWorks2019;Sales.SpecialOfferProduct;538;0.46;0.38;0.09
AdventureWorks2019;Purchasing.ProductVendor;460;0.46;0.36;0.10
AdventureWorks2019;HumanResources.JobCandidate;13;0.46;0.30;0.16
AdventureWorks2014;Purchasing.ProductVendor;460;0.46;0.36;0.10
AdventureWorks2014;Sales.SpecialOfferProduct;538;0.46;0.38;0.09
AdventureWorks2014;Production.ProductDescription;762;0.45;0.26;0.20
AdventureWorks2019;Production.ProductDescription;762;0.45;0.26;0.20
AdventureWorks2019;Person.StateProvince;181;0.41;0.33;0.08
AdventureWorks2014;Production.ProductModel;128;0.41;0.23;0.19
AdventureWorks2014;Person.StateProvince;181;0.41;0.33;0.08
AdventureWorks2014;HumanResources.JobCandidate;13;0.41;0.25;0.16
AdventureWorks2014;Person.CountryRegion;238;0.39;0.33;0.06
AdventureWorks2014;Production.ProductReview;4;0.39;0.32;0.07
AdventureWorks2019;Production.ProductReview;4;0.39;0.32;0.07
AdventureWorks2019;Person.CountryRegion;238;0.39;0.33;0.06
AdventureWorks2019;Production.Illustration;5;0.39;0.15;0.24
AdventureWorks2014;HumanResources.EmployeeDepartmentHistory;296;0.34;0.27;0.06
AdventureWorks2014;Production.Illustration;5;0.34;0.09;0.24
AdventureWorks2019;HumanResources.EmployeeDepartmentHistory;296;0.34;0.27;0.06
AdventureWorks2014;Sales.SalesPersonQuotaHistory;163;0.27;0.22;0.05
AdventureWorks2014;Purchasing.Vendor;104;0.27;0.22;0.05
AdventureWorks2014;Production.ProductProductPhoto;504;0.27;0.21;0.05
AdventureWorks2019;Sales.SalesPersonQuotaHistory;163;0.27;0.22;0.05
AdventureWorks2019;Purchasing.Vendor;104;0.27;0.22;0.05
AdventureWorks2019;Production.ProductProductPhoto;504;0.27;0.21;0.05
AdventureWorks2019;Person.AddressType;6;0.21;0.16;0.05
AdventureWorks2019;Production.ProductSubcategory;37;0.21;0.16;0.05
AdventureWorks2014;Sales.SalesTaxRate;29;0.21;0.16;0.05
AdventureWorks2014;Sales.SalesTerritory;10;0.21;0.16;0.05
AdventureWorks2019;Sales.SalesTaxRate;29;0.21;0.16;0.05
AdventureWorks2019;Sales.SalesTerritory;10;0.21;0.16;0.05
AdventureWorks2019;HumanResources.Shift;3;0.21;0.16;0.05
AdventureWorks2019;Production.ProductCategory;4;0.21;0.16;0.05
AdventureWorks2019;Purchasing.ShipMethod;5;0.21;0.16;0.05
AdventureWorks2014;Production.ProductSubcategory;37;0.21;0.16;0.05
AdventureWorks2014;Person.AddressType;6;0.21;0.16;0.05
AdventureWorks2014;HumanResources.Shift;3;0.21;0.16;0.05
AdventureWorks2014;Production.ProductCategory;4;0.21;0.16;0.05
AdventureWorks2014;Purchasing.ShipMethod;5;0.21;0.16;0.05
AdventureWorks2014;Production.ProductCostHistory;395;0.20;0.16;0.04
AdventureWorks2014;Production.ProductListPriceHistory;395;0.20;0.16;0.04
