DB_Freespace;Dbname;DBsize;Dbstatus;File_Size_MB;FreeSpace_MB;Log_File_Size_MB;Log_Free_Space_MB;Log_Space_Used_MB;Recovery_Model;Space_Used_MB
51.34 MB;AdventureWorks2014;303.25;ONLINE;253.25;51.88;50.00;44.52;5.48;SIMPLE;201.38
63.70 MB;AdventureWorks2019;336.00;ONLINE;264.00;64.25;72.00;61.90;10.10;SIMPLE;199.75
3.41 MB;AUDITORIA;80.00;ONLINE;8.00;3.25;72.00;65.95;6.05;SIMPLE;4.75
4.60 MB;BANCO_AUDITADO;80.00;ONLINE;8.00;4.44;72.00;70.02;1.98;SIMPLE;3.56
0.90 MB;DB_ALTERA;16.00;ONLINE;8.00;0.69;8.00;7.34;0.66;SIMPLE;7.31
0.66 MB;DB_DESPACHANTE;16.00;ONLINE;8.00;0.38;8.00;7.28;0.72;SIMPLE;7.63
49.53 MB;DB_MANUTENCAO;144.00;ONLINE;136.00;49.25;8.00;6.68;1.32;SIMPLE;86.75
4.88 MB;DB_PADARIA;80.00;ONLINE;8.00;4.69;72.00;68.80;3.20;SIMPLE;3.31
0.68 MB;DB_PESQUISA;16.00;ONLINE;8.00;0.38;8.00;7.57;0.43;SIMPLE;7.63
4.28 MB;DB_TESTE;16.00;ONLINE;8.00;4.00;8.00;6.03;1.97;FULL;4.00
2.11 MB;DBMANAGER;64.32;ONLINE;39.44;2.75;24.88;23.21;1.67;SIMPLE;36.69
0.56 MB;master;9.50;ONLINE;7.25;0.38;2.25;1.59;0.66;SIMPLE;6.88
5.59 MB;model;16.00;ONLINE;8.00;5.19;8.00;6.25;1.75;FULL;2.81
3.20 MB;msdb;59.57;ONLINE;39.94;3.06;19.63;18.25;1.38;SIMPLE;36.88
28.54 MB;tempdb;40.00;ONLINE;32.00;27.75;8.00;7.30;0.70;SIMPLE;4.25
59.73 MB;TRACES;272.00;ONLINE;200.00;59.69;72.00;51.30;20.70;SIMPLE;140.31
